사용자질문,추천결과,정답Intent,추천방법,추천근거,정답여부,
비감전사고 관련 구상권 청구 재판례 중 구상금 면책 사례 알려줘,119,119,cnn,{},TRUE,
비감전사고에 의한 구상권 청구 배상 과실에 대한 비율 판례 검색해줘,119,119,cnn,{},TRUE,
비감전사고로 발생한 구상청구권 행사 사례 알려줘,119,119,cnn,{},TRUE,
비감전사고와 관련된 구상권 반환 청구 소송 판례 찾기,119,119,cnn,{},TRUE,
비감전사고 발생 피해에 관련한 구상권 반환 청구 재판 판결문 보기,119,119,cnn,{},TRUE,
비감전사고에 대한?구상권 인정 척도를 알 수 있는 구상소송 판결례 찾기,119,119,cnn,{},TRUE,
감전사고가 아닌 안전사고에 대한 구상소송 판례 보여줘,221,119,none,{},FALSE,
감전사고가 아닌 안전사고에 관한 구상권 청구 소송 판결례 검색해줘,221,119,none,{},FALSE,
감전사고가 아닌 안전사고에 관한 구상권 청구 재판례 보기,221,119,none,{},FALSE,
비감전사고 피해의 결과에 대한 구상소송 판례 찾기,119,119,cnn,{},TRUE,
비감전사고 피해의 결과에 관한 구상권 청구 소송 판결 선례 검색,119,119,cnn,{},TRUE,
비감전사고의 결과로 입은 피해에 대한 구상권 청구 재판 판례 보기,119,119,cnn,{},TRUE,
비감전사고때문에 진행된 구상청구권 재판 결과 알려줘,119,119,cnn,{},TRUE,
감전사고가 아닌 안전사고의 구상청구권 기준을 알 수 있는 판례 검색해줘,221,119,none,{},FALSE,
감전사고가 아닌 안전사고의 인정범위를 알 수 있는 구상소송 판례 찾기,221,119,none,{},FALSE,
감전사고가 아닌 안전사고의 구상권 청구 인정 범위가 적시된 소송 판결례,221,119,none,{},FALSE,
감전사고가 아닌 안전사고로 발생한 피해 손실에 대한 구상소송 재판례,221,119,none,{},FALSE,
기업납입금 납입하려는데 어떤 방식이 있죠?,120,120,cnn,{},TRUE,
납입금 납부 시 설정가능한 방식에는 뭐가 있나요?,120,120,cnn,{},TRUE,
설정가능한 납입금 납입 방식 알려주세요,120,120,cnn,{},TRUE,
기업 납입금 납입방식을 설정해야되는데 관련 설명이 필요해,120,120,cnn,{},TRUE,
기업납입금 설정 어떻게 해?,120,120,cnn,{},TRUE,
기업이 선택할 수 있는 납입금 납입 방법에 대해 알려줘,120,120,cnn,{},TRUE,
보안체크할때 어떻게 하는지 알려줄 설명충,121,121,cnn,{},TRUE,
보안검색 절차 알아야하는데 어케하는거임?,121,121,cnn,{},TRUE,
어떤순으로 보안검색받을각임,121,121,cnn,{},TRUE,
보안검색할때 뭐 필요해?,121,121,cnn,{},TRUE,
어떤식으로 받는거냐 보안검사,121,121,cnn,{},TRUE,
보안검색은 어케 이루어지는거니,121,121,cnn,{},TRUE,
어떤방식으로 진행되는지 알려줘 보안검사,121,121,cnn,{},TRUE,
보안 검사 실행순서 같은거 알아?,121,121,cnn,{},TRUE,
보안 검사 과정 어케 되는거야?,121,121,cnn,{},TRUE,
어떻게 보안 검색 받는지 말해줘봐,121,121,cnn,{},TRUE,
보안 검색 진행사항안내해줘,121,121,cnn,{},TRUE,
씨큐리티 검색장에서 어떻게 해야되?,121,121,cnn,{},TRUE,
보안검색할때 여권 보여주난요?,121,121,cnn,{},TRUE,
어떤식으로 진행되는지 알려줘보안검사,121,121,cnn,{},TRUE,
보안검색 어케 받는 건지 모르겠어요,121,121,cnn,{},TRUE,
순서 이썽? 보안검색받는,121,121,cnn,{},TRUE,
어떤순으로 보안 체크를 받아야하는건지,121,121,cnn,{},TRUE,
보안 검사 받을때 알아야할점 뭐있나요,121,121,cnn,{},TRUE,
보안검색 절차 단순한가요?,121,121,cnn,{},TRUE,
절차가 어려워요? 씨큐리티첵,121,121,cnn,{},TRUE,
일반보안검색 내용 알려줘요,121,121,cnn,{},TRUE,
씨큐리티체크 이용전 체크사항알려줘요,121,121,cnn,{},TRUE,
보안검색 순서 ?o미?,121,121,cnn,{},TRUE,
보안검사할때 요원에게 여권보여줘?,121,121,cnn,{},TRUE,
보안검색받을때 신발도 벗어야해?,121,121,cnn,{},TRUE,
보안검색시 모든 소지품을 바구니에 넣어야하나요?,121,121,cnn,{},TRUE,
보안요원에게 보여줘야할거 알려줘 보안검색시,121,121,cnn,{},TRUE,
자진 세관 신고 장점이?,122,122,cnn,{},TRUE,
왜 자진해서 세관신고하라는거야?,122,122,cnn,{},TRUE,
왜 세관에 자진신고해야돼?,122,122,cnn,{},TRUE,
세관검사 내가 먼저 하겠다고하면 좋은거야?,145,122,none,{},FALSE,
세관자진신고시하면 이득이 생기나요?,122,122,cnn,{},TRUE,
세관검사를 스스로 신고하면 이점이 있어요?,122,122,cnn,{},TRUE,
세관신고 자진신고하면 개이득임?,122,122,cnn,{},TRUE,
좀 널널하게 검사하는거 레알임? 자진신고시에,122,122,cnn,{},TRUE,
뭘보고 자진세관신고를 하라는거냐,122,122,cnn,{},TRUE,
세관 자진신고 할때 나한테 조은점있어?,122,122,cnn,{},TRUE,
자진신고하면 통관절차 빨라져?,122,122,cnn,{},TRUE,
스스로 세관신고하면 어떤게 조아요?,122,122,cnn,{},TRUE,
자진신고하려는데 괜찮겠지?,122,122,cnn,{},TRUE,
이점이 있나요 세관신고 자발적으로 하면,122,122,cnn,{},TRUE,
자진신고 하려고 하는데 어떤점이 그뤠잇이야?,122,122,cnn,{},TRUE,
어떤게 장점이야? 자진신고,122,122,cnn,{},TRUE,
나 세관자진신고 하려는데 괜찮을까?,122,122,cnn,{},TRUE,
왜때문에 자진신고 하는거?,122,122,cnn,{},TRUE,
세관신고 스스로 하면 뭐가 편해요?,122,122,cnn,{},TRUE,
자진신고하면 할인된다고 들었어 진짜야?,122,122,cnn,{},TRUE,
롤렉스시계산거 자진신고하는게 좋을까?,122,122,cnn,{},TRUE,
세금사후납부도 가능한가요 자진신고시에?,122,122,cnn,{},TRUE,
자진신고하면 현품검사 안해?,122,122,cnn,{},TRUE,
면세범위초과한 세금 할인해주거나 그런건 없어? 자진신고할때,63,122,none,{},FALSE,
세관관해 질문할곳 알려듀세요,123,123,cnn,{},TRUE,
세관에대해 참고할만한곳 머있삼?,123,123,cnn,{},TRUE,
세관신고에대해 알고싶으면 어디에 전화해?,123,123,cnn,{},TRUE,
문의처 알켜도 세관신고 ,123,123,cnn,{},TRUE,
어디에 세관신고에대해 물어보면 좋을까요?,123,123,cnn,{},TRUE,
세관에대해 물어보고싶은게 잇어요 어디에 물어봐?,123,123,cnn,{},TRUE,
세관관련 질문받아주는 곳 알려줘,123,123,cnn,{},TRUE,
상세하게 알려주는 곳 있어? 세관관련해서,123,123,cnn,{},TRUE,
세관신고에대해 물어보고싶은게있어 어디에 물어봐?,123,123,cnn,{},TRUE,
문의번호 알고있니? 세관신고문의처,123,123,cnn,{},TRUE,
세관 신고 관련 질문할곳 어디냐,123,123,cnn,{},TRUE,
세관신고 있자나 어디로 문의해?,123,123,cnn,{},TRUE,
자세히 물어보고싶은데 문의할곳 알려줄래,123,123,cnn,{},TRUE,
세관신고 질문할 곳 있어요?,123,123,cnn,{},TRUE,
어디로 전화하면되 세관신고 문의,123,123,cnn,{},TRUE,
세관관련 신고처 번호 알려주세요,123,123,cnn,{},TRUE,
문의할만한 곳 어디니 세관관련 신고,123,123,cnn,{},TRUE,
세관신고 문의 받아주는곳 어디야?,123,123,cnn,{},TRUE,
인터넷에 물어볼 곳 있어? 세관신고,123,123,cnn,{},TRUE,
세관신고 물어볼거있습니다,123,123,cnn,{},TRUE,
질문 받아줘 세관관련헤서,123,123,cnn,{},TRUE,
세관신고 관해서 어디에 여쭤볼수있나요,123,123,cnn,{},TRUE,
세관신고 참고할만한 곳 알려줘,123,123,cnn,{},TRUE,
관세청들어가면 세관신고 문의 할수있어요?,123,123,cnn,{},TRUE,
여객기갈아탈때 보안첵 하나요?,124,124,cnn,{},TRUE,
씨큐리티체크 하는지 알려줘 환승때,124,124,cnn,{},TRUE,
다른뱅기로 갈아탈때 보안체크하나요,124,124,cnn,{},TRUE,
나리타에서 환승하는데 환승보안검사 해요?,124,124,cnn,{},TRUE,
환승검색 있어?,154,124,none,{},FALSE,
트렌스퍼할때 쎄큐리티 검색 해?,121,124,none,{},FALSE,
환승씨큐리티첵해?,124,124,cnn,{},TRUE,
보안검사하나요 환승시에,124,124,cnn,{},TRUE,
환승 보안창구 잇나요?,59,124,none,{},FALSE,
환승할때도 필히 검색을 받아요?,124,124,cnn,{},TRUE,
뱅기 옮길때 또 보안검사해?,124,124,cnn,{},TRUE,
뱅기환승할때 씨큐리티검색 하는지 알려줘,124,124,cnn,{},TRUE,
비행기 바꿔서 탈때 보안검색 다시 해?,124,124,cnn,{},TRUE,
환승보안검색에대해 자세히 알려줘,124,124,cnn,{},TRUE,
환승보안검사에서 뭐하니,124,124,cnn,{},TRUE,
왜 환승보안검사 하는거야?,124,124,cnn,{},TRUE,
환승할때 보안체크 매번 하나요?,124,124,cnn,{},TRUE,
보안체크 다시한번 더 하나요 환승하려면,124,124,cnn,{},TRUE,
환승할시에 보안검사도 또하는거지?,124,124,cnn,{},TRUE,
환승할때 보안검사 안받을수없어?,124,124,cnn,{},TRUE,
환승하기전에 보안검사받아요?,124,124,cnn,{},TRUE,
쿠웨이트 ㄹㅇ 수도 어디인 각?,125,125,cnn,{},TRUE,
바레인은 어디있는 국가야?,125,125,cnn,{},TRUE,
아제르바이잔 수도는 어디게?,125,125,cnn,{},TRUE,
태국 무슨 언어 씀?,125,125,cnn,{},TRUE,
수단 수도는 어디 무엇?,125,125,cnn,{},TRUE,
몰디브 지도상 어디임?,85,125,none,{},FALSE,
불가리아 수도는 어디임,125,125,cnn,{},TRUE,
뉴질랜드 위치는 어디?,125,125,cnn,{},TRUE,
가나에서 믿는 종교가 머임?,125,125,cnn,{},TRUE,
말레이시아 수도는?,125,125,cnn,{},TRUE,
마카오에도 국교가 있나?,125,125,cnn,{},TRUE,
뉴질랜드 영어써?,125,125,cnn,{},TRUE,
필리핀에 국교가 따로 있어?,125,125,cnn,{},TRUE,
말레이시아 무슨 언어 쓰는걸까,125,125,cnn,{},TRUE,
이탈리아 기후는 무슨 기후야?,125,125,cnn,{},TRUE,
룩셈부르크 어떤 나라야,125,125,cnn,{},TRUE,
쿡제도 나라에 대해서 설명해줘,125,125,cnn,{},TRUE,
이란이란 나라는?,125,125,cnn,{},TRUE,
니우에란 곳은 어떤 곳이야?,125,125,cnn,{},TRUE,
카타르란 나라에 대해서 설명해줘,125,125,cnn,{},TRUE,
국가기본정보 알려줘,258,125,none,{},FALSE,
국가 정보 알려줘,258,125,none,{},FALSE,
국가별 기본정보 알 수있어?,258,125,none,{},FALSE,
국가 기본정보 알려줘,258,125,none,{},FALSE,
인도에 대해서 알려줘,125,125,cnn,{},TRUE,
수단에 대해서 알려줘,75,125,none,{},FALSE,
방콕에대해 알려줘,74,125,none,{},FALSE,
런던에대해서 알려주라,125,125,cnn,{},TRUE,
어떤거 알고있어야되? 모바일체크인할때,126,126,cnn,{},TRUE,
첵인카운터어데서 수속받이?,126,126,cnn,{},TRUE,
체크인 카?W너 어디야?,246,126,none,{},FALSE,
이용방법 뭐야? 탑승수속카운터,126,126,cnn,{},TRUE,
체크인카운터 이용할때 어떻게 하는지,126,126,cnn,{},TRUE,
어떻게 셀프 체크인 사용하는건지 알아?,126,126,cnn,{},TRUE,
탑승수속카운터 사용시 안내사항,262,126,none,{},FALSE,
뭐뭐알아야해? 셀프첵인 이용하려면,75,126,none,{},FALSE,
모바일로 탑승수속 하려고해 도와줄래,126,126,cnn,{},TRUE,
체크인카운터 이용할때 주의할점 뭐있을까,126,126,cnn,{},TRUE,
웹브라우저를 통해서 체크인 하는 방법있어?,126,126,cnn,{},TRUE,
체크인 기계로 수속하는 법 알려줘,126,126,cnn,{},TRUE,
셀프첼크인 어떻게 써야 ㅆㅅㅌㅊ?,125,126,none,{},FALSE,
탑승 수속 할 부분?,126,126,cnn,{},TRUE,
체크인 어떻게 할 각?,126,126,cnn,{},TRUE,
체크인 어뜨케 하는 거임?,126,126,cnn,{},TRUE,
탑승 수속 어떻게 하는지 보여줘,126,126,cnn,{},TRUE,
탑승 수속 절차가 궁금하고 그러네,126,126,cnn,{},TRUE,
체크인 카운터 가서 뭐하면 됨?,126,126,cnn,{},TRUE,
탑승수속 어떻게 하는 거임?,126,126,cnn,{},TRUE,
셀프인은 어떻게 하는 걸까나,126,126,cnn,{},TRUE,
체크인하는 법,126,126,cnn,{},TRUE,
체크인하는 법 가르쳐줘,126,126,cnn,{},TRUE,
체크인하려면 뭐부터 함?,126,126,cnn,{},TRUE,
탑승수속하려면 뭐가 필요함?,126,126,cnn,{},TRUE,
체크인 순서를 모르겠어,126,126,cnn,{},TRUE,
출국시 비행기수속 방법,139,126,none,{},FALSE,
실화자를 상대로한 구상청구소송 판례,100,127,none,{},FALSE,
화재 원인 제공자에게 구상청구소송한 판례 보기,127,127,cnn,{},TRUE,
화재사건 유책자 구상청구소송 결과,127,127,cnn,{},TRUE,
화재사고 관련 구상청구소송 승소 후 구상금액 처리 관련 판례 보기,127,127,cnn,{},TRUE,
화재사건 구상청구소송 승소한 다음 해당금액 처리에 대한 판례 찾기,127,127,cnn,{},TRUE,
화재 관련 구상청구소송에서 피고가 항소할 경우,127,127,cnn,{},TRUE,
화재 관련 구상청구소송에서 항소기간은?,127,127,cnn,{},TRUE,
화재사고 관련 구상소송에서 승소 최종 판결 조회,127,127,cnn,{},TRUE,
화재 관련 구상금지급을 청구하는 소송의 승소 판례가 궁금합니다,127,127,cnn,{},TRUE,
구상금청구소송 재판 결과 중 화재사건 자료 ?보기,127,127,cnn,{},TRUE,
화재건 구상금청구소송 판결 결정문 검색,127,127,cnn,{},TRUE,
차량 화재사고 관련 구상금청구소송 진행 절차 안내,127,127,cnn,{},TRUE,
건물 내 화재사고 관련 구상금 청구한 소송 자료 보기,127,127,cnn,{},TRUE,
화재사고관련 구상금청구소송에 필요한 서류 안내,127,127,cnn,{},TRUE,
화재사고관련 구상금청구소송 상세 판례 내용 조회,127,127,cnn,{},TRUE,
화재건 구상금청구소송 절차 및 대응에 대한 사례 보기,127,127,cnn,{},TRUE,
구상금채권의 포함범위에 대하여 승소한 사례 중 화재사고 관련 판례,127,127,cnn,{},TRUE,
구상금청구소송 원고 승소 후?진행 사항 명시된 화재사고건 판례,127,127,cnn,{},TRUE,
고용승계 증빙서류에 대해 더 자세히 알고 싶어요,128,128,cnn,{},TRUE,
고용승계 증빙서류 문의 답변처,128,128,cnn,{},TRUE,
어떤 곳에서 고용승계확인서 문의에 대해 답변해주지?,128,128,cnn,{},TRUE,
단기 주차하러 가게 위치 보여줘,129,129,cnn,{},TRUE,
오래 주차 하려면 어디로 가야하는지 알려줘,129,129,cnn,{},TRUE,
길 검색 장기주차장가는,129,129,cnn,{},TRUE,
어디에 단기주차차량 델수있어?,129,129,cnn,{},TRUE,
장기 주차 이용 장소 어디?,129,129,cnn,{},TRUE,
단기주차장 어디로가야 나타나니?,129,129,cnn,{},TRUE,
주차장 위치 ㅇㄷ?,129,129,cnn,{},TRUE,
주차장은 ㅇㄷ로 가야 들어가지?,129,129,cnn,{},TRUE,
단기주차장 입구 어딨음?,129,129,cnn,{},TRUE,
장기주차장 들어가는 입구 어디야,129,129,cnn,{},TRUE,
주차장 어떻게 찾음?,129,129,cnn,{},TRUE,
주차장 어떻게 진입함?,129,129,cnn,{},TRUE,
주차장은 어떻게 이용하면 되니?,129,129,cnn,{},TRUE,
장기주차장 피크 타임은 언제야?,110,129,none,{},FALSE,
주차장 피크타임 알려줘,110,129,none,{},FALSE,
주차장 피크타임알려줘,110,129,none,{},FALSE,
2여객 주차장 알려줘,129,129,cnn,{},TRUE,
파킹하는곳 어디지?,129,129,cnn,{},TRUE,
단기주차장이용하려고하는데 위치알려줘,129,129,cnn,{},TRUE,
면세점화장품 색상교환각?,130,130,cnn,{},TRUE,
면세점에서 산물건 다른색상으로 교환 가능한 부분?,130,130,cnn,{},TRUE,
레알 모르겠어 면세교환방법,130,130,cnn,{},TRUE,
어떻게 면세상품 교환하는지 트루궁금,130,130,cnn,{},TRUE,
면세물건 다른상점에서도 교환가능하지?,130,130,cnn,{},TRUE,
면세상품 돈으로 다시 바꿀래,130,130,cnn,{},TRUE,
면세점 물건을 다른물건으로 바꿀수있어?,130,130,cnn,{},TRUE,
외국에서 사는데 면세점에서산거 어떻게 바꿔?,142,130,none,{},FALSE,
띤세품 ㅇㅈ 교환 어케 함?,130,130,cnn,{},TRUE,
띤세품 환불 노인정?,220,130,none,{},FALSE,
띤세점 교환 어떻게 ㅇㅈ?,130,130,cnn,{},TRUE,
띤세점 환불 ㅎㅅㅌㅊ?,130,130,cnn,{},TRUE,
띤세점 환불 ㄴㅇㅈ?,130,130,cnn,{},TRUE,
띤세점 교환 ㅇㅈ?,130,130,cnn,{},TRUE,
면세점 환불은 면세점만 가능한건가요?,130,130,cnn,{},TRUE,
면세점 쇼핑 후 환불 가능해요?,130,130,cnn,{},TRUE,
면세점에서 쇼핑한 거 돈으로 바꾸고 싶어,130,130,cnn,{},TRUE,
면세점 refund,142,130,none,{},FALSE,
티1에서 터미널2로 환승하려면 어케가?,131,131,cnn,{},TRUE,
제이여객 환승방법알려줘 탑승동으로,131,131,cnn,{},TRUE,
제2여객에서 제1로 환승이동하는법 ,131,131,cnn,{},TRUE,
탑승동에서 내려서 탑승동으로 환승하는 길 알려줘,131,131,cnn,{},TRUE,
터미널 하차 후 탑승동으로 어떻게 갈아타?,131,131,cnn,{},TRUE,
탑승동으로 어떻게 환승할 각?,131,131,cnn,{},TRUE,
탑승동에서 2터미널 어케 갈아탐?,131,131,cnn,{},TRUE,
환승 터미널로 가는 법은?,131,131,cnn,{},TRUE,
탑승동으로 갈아타야해!,131,131,cnn,{},TRUE,
2터미널로 환승 어떻게 가?,131,131,cnn,{},TRUE,
탑승동에서 환승가는 길,131,131,cnn,{},TRUE,
터미널에서 탑승동 환승은?,131,131,cnn,{},TRUE,
터미널 1에서 2로 환승 가능?,131,131,cnn,{},TRUE,
2터미널로 환승하는 루트 보여줘,131,131,cnn,{},TRUE,
1터미널로 환승은 어떻게 가면 됨?,131,131,cnn,{},TRUE,
탑승동으로 환승하려는데?,131,131,cnn,{},TRUE,
터미널에서 환승하기,131,131,cnn,{},TRUE,
탑승동에서 환승하기,131,131,cnn,{},TRUE,
환승 방법좀,154,131,none,{},FALSE,
t2 환승 안내좀 해주세요,131,131,cnn,{},TRUE,
환승방법 홈페이지에 있어요,133,131,none,{},FALSE,
예술품 어디에 전시되있는지 궁금해 레알 ,132,132,cnn,{},TRUE,
전시박물관 어디에있는거야?,132,132,cnn,{},TRUE,
미디어 아트 구경각?,132,132,cnn,{},TRUE,
미술 작품 어디서 볼수있어?,132,132,cnn,{},TRUE,
예술품 전시 어디에 해놨어?,132,132,cnn,{},TRUE,
미술작품 어디 전시각 이냐,132,132,cnn,{},TRUE,
문화서비스 어떤거 볼수있지?,132,132,cnn,{},TRUE,
어디서 문화공연 하나요,132,132,cnn,{},TRUE,
문화 공연 어디서 상영하는지?,132,132,cnn,{},TRUE,
문화서비스 이용 안내 해주세요,132,132,cnn,{},TRUE,
퍼레이드 진행하는 장소 오디얌?,132,132,cnn,{},TRUE,
문화센터 어디서 봐요,132,132,cnn,{},TRUE,
퍼레이드 아직도 볼수있나요,132,132,cnn,{},TRUE,
즐길수있는 문화컨텐츠 있나요,132,132,cnn,{},TRUE,
어떤 문화서비스 볼수있을까,132,132,cnn,{},TRUE,
퍼레이드는 항상하는 거야?,132,132,cnn,{},TRUE,
예술품 전시 많이 되있나요,132,132,cnn,{},TRUE,
예술작품 어떤거 있는지 알려줘봐,132,132,cnn,{},TRUE,
제일 인기있는 문화서비스 뭐야?,132,132,cnn,{},TRUE,
문화서비스 뭐뭐 제공돼?,132,132,cnn,{},TRUE,
공항 전시품 안내좀 해줄래?,1,132,none,{},FALSE,
아이들이 볼만한 공연이 있어?,42,132,none,{},FALSE,
그림전시회 일정 말해줘,209,132,none,{},FALSE,
전시장 있어?,125,132,none,{},FALSE,
전망대 어디있어,259,132,none,{},FALSE,
전망대는 어디있어,259,132,none,{},FALSE,
전망대 위치 알려줘,259,132,none,{},FALSE,
전망대 있다며,259,132,none,{},FALSE,
호텔있음?,133,133,cnn,{},TRUE,
캡슐호텔?이용안내,133,133,cnn,{},TRUE,
호텔에서 하루?묵을?수 있나,133,133,cnn,{},TRUE,
호텔?어딨냐,133,133,cnn,{},TRUE,
호텔?위치?가르쳐주세요,133,133,cnn,{},TRUE,
호텔이 있긴해?,133,133,cnn,{},TRUE,
호텔?어딨습니까,133,133,cnn,{},TRUE,
다락휴?못찾겠다,133,133,cnn,{},TRUE,
사용전력이 계약종별과 맞지않을 때 제기한 소송 판례,134,134,cnn,{},TRUE,
계약종별과 관련된 사건 모두 보기,134,134,cnn,{},TRUE,
전기요금 관련 계약종별 약관 내용 보기,134,134,cnn,{},TRUE,
계약종별 지정에 있어 문제가 생겼을 때 제기하는 소송 관련 내용,134,134,cnn,{},TRUE,
전력사용이 계약종별 이외로 발생했을 때 소송에 대하여,134,134,cnn,{},TRUE,
계약종별 계산 오류에 대한 소송 판례,134,134,cnn,{},TRUE,
계약종별 바꿀 때 생긴 문제에 대한 소송 판례,134,134,cnn,{},TRUE,
고의로 계약종별 잘못 변경 시 해당하는 소송 판례 보기,134,134,cnn,{},TRUE,
해당하는 계약종별로 전기료 납부가 안되었을 때 소송,134,134,cnn,{},TRUE,
납부된 전기세가 계약종별과 일치하지 않을 때 소송 판례,134,134,cnn,{},TRUE,
계약종별로 납입된 전기요금에 문제 발생 시 소송 판례 보기,134,134,cnn,{},TRUE,
지속적으로 계약종별 문제 발견 시 해당하는 소송 판례,134,134,cnn,{},TRUE,
계약종별 관련 사건에 대한 해결 소송 사례 보기,134,134,cnn,{},TRUE,
계약종별과 관련한 전기세 납부 문제에 대한 소송에는 어떤 게 있나요?,134,134,cnn,{},TRUE,
초기 계약종별 설정에 문제가 있었을 때 소송은 어떻게 진행되는지,134,134,cnn,{},TRUE,
잘못된 계약종별로 입은 피해에 대한 소송 판결,134,134,cnn,{},TRUE,
계약종별로 인해 일방적으로 손해를 본 경우 소송에 대하여,134,134,cnn,{},TRUE,
전기요금 납부를 피하기 위해 계약종별을 변경한 경우 소송건 보기,134,134,cnn,{},TRUE,
계약종별 착오의 책임이 사용자에게 있을 경우 소송 판례,134,134,cnn,{},TRUE,
짐 위탁사항에대해 알고시퍼,135,135,cnn,{},TRUE,
화물 위탁 이용안내 해줘요,135,135,cnn,{},TRUE,
어떠케 수하물 위탁하는거임?,135,135,cnn,{},TRUE,
수화물 위탁할래 알려줄래,135,135,cnn,{},TRUE,
수하물 위탁은 어디서 해?,24,135,none,{},FALSE,
화물맡기는거 어디에 부탁해?,24,135,none,{},FALSE,
위탁 기준알려줘 수하물,135,135,cnn,{},TRUE,
수화물 맡기는거 안내부탁합니다,135,135,cnn,{},TRUE,
수하물 위탁 설명해줄래용,135,135,cnn,{},TRUE,
화물 위탁에대해 알려줘,135,135,cnn,{},TRUE,
출입국 수화물 위탁어떻게 하는건지아라?,135,135,cnn,{},TRUE,
수하물 위탁에대해 알고시픈데요,135,135,cnn,{},TRUE,
알아야할 사항있나요 수하물 위탁시,135,135,cnn,{},TRUE,
수화물 위탁에대해 보여줘,135,135,cnn,{},TRUE,
수화물 맡기는거에대해 알려줘,135,135,cnn,{},TRUE,
수화물 맡길때 알아야할점 있나요,135,135,cnn,{},TRUE,
위탁 안내항목 알려줘요 수화물,135,135,cnn,{},TRUE,
어떻게 위탁하는 건가요? 수하물,135,135,cnn,{},TRUE,
입국시 화물위탁맡길 방법알려줘요,135,135,cnn,{},TRUE,
화물 위탁 사항에대해 안내해주셈,135,135,cnn,{},TRUE,
수하물 위탁할때 어디가서해요?,24,135,none,{},FALSE,
수하물 위탁은 어떻게 진행되는거야?,135,135,cnn,{},TRUE,
수하물 위탁방법,135,135,cnn,{},TRUE,
쉴 수 있는 공간 없을까?,42,136,none,{},FALSE,
렌터카 전화할 번호 내놔,136,136,cnn,{},TRUE,
행정서비스 몇 시까지 함?,136,136,cnn,{},TRUE,
복사는 어디가서 하면 됨?,136,136,cnn,{},TRUE,
휴식취할때 갈만한곳 어디인지 아라?,137,136,none,{},FALSE,
대피시설 어디서 이용각?,136,136,cnn,{},TRUE,
민원행정처리 가능한곳 어디에욤?,136,136,cnn,{},TRUE,
발 관리 받을수 있는곳 있으?,28,136,none,{},FALSE,
관광관련 편의서비스 어디가면 받을수이쓰?,136,136,cnn,{},TRUE,
운동기구 구비되있는곳 전화번호 몇번이야?,136,136,cnn,{},TRUE,
편의서비스 안내,136,136,cnn,{},TRUE,
차 렌트 할 수 있어?,277,136,none,{},FALSE,
렌터카 서비스,136,136,cnn,{},TRUE,
컴퓨터 사용 가능한곳 알려줘,240,136,none,{},FALSE,
컴퓨터는 어디서 이용해?,136,136,cnn,{},TRUE,
인터넷 사용할 수 있는 곳,136,136,cnn,{},TRUE,
T1에 있는 세탁물 위치 알려 줘,136,136,cnn,{},TRUE,
파일철 파는 곳 안내좀,137,137,cnn,{},TRUE,
반팔티 파는 곳 안내좀 해줄래?,137,137,cnn,{},TRUE,
책 어디서사?,137,137,cnn,{},TRUE,
면도기 파는 곳 위치좀,137,137,cnn,{},TRUE,
음료수 파는 곳 위치좀,137,137,cnn,{},TRUE,
전자담배 구매 가능한 곳 있어?,137,137,cnn,{},TRUE,
가방사려면어디로가야해?,137,137,cnn,{},TRUE,
지갑파는곳어디야?,137,137,cnn,{},TRUE,
꽃사려면 어디로가야해?,137,137,cnn,{},TRUE,
양말 어디서 사,85,137,none,{},FALSE,
기념품살곳어디있어?,137,137,cnn,{},TRUE,
샴푸 어디서사,85,137,none,{},FALSE,
아이폰 충전기 파는곳 어디야?,137,137,cnn,{},TRUE,
usb 파는곳 어디?,137,137,cnn,{},TRUE,
손수건 파는곳 알려줘,137,137,cnn,{},TRUE,
탁상시계 어디서 팔어?,137,137,cnn,{},TRUE,
립스틱을 사고싶어,275,137,none,{},FALSE,
기념품점 연락처 알려줄래,137,137,cnn,{},TRUE,
인천공항에 옷가게 있어?,1,137,none,{},FALSE,
인천공항에 옷 팔아?,76,137,none,{},FALSE,
인천공항에 상점 뭐있어,1,137,none,{},FALSE,
어디에 문의해? 고양이데리고 가려면,108,138,none,{},FALSE,
토끼 데리고 가려면 뭐 해야 돼?,138,138,cnn,{},TRUE,
강아지 데리고 갈 때 필수적으로 필요한 요소는?,138,138,cnn,{},TRUE,
동물 동반하게 되면 화물 칸으로 옮겨지니? 강아지?,138,138,cnn,{},TRUE,
동물 동반할 때 필수조건이 뭔데?,138,138,cnn,{},TRUE,
뭐 해야하는 건데? 동물 동반 탑승하려면,138,138,cnn,{},TRUE,
동물 동반해서 출국도 가능한가요?,138,138,cnn,{},TRUE,
필수적으로 챙겨야 할 거 알려줘 강아지 데리고 탈 때,138,138,cnn,{},TRUE,
동물도 같이 탈 수 있어?,138,138,cnn,{},TRUE,
입국 때도 같이 온 동물 신고해야하는건가요?,138,138,cnn,{},TRUE,
동물 동반할 때 기내 반입도 허용되나요?,286,138,none,{},FALSE,
귀국 시 동물 동반 어떻게 하죠?,138,138,cnn,{},TRUE,
출국할 때 동반 동물에 대해서 신고해야해요?,138,138,cnn,{},TRUE,
동물 동반해서 갈 때 필요한 거 있어?,138,138,cnn,{},TRUE,
애완동물이랑 함께 출국하려고요,138,138,cnn,{},TRUE,
변려묘 데리고 타려면 어떡해?,75,138,none,{},FALSE,
애완동물 데리고 가려면 뭐가 필요하지?,138,138,cnn,{},TRUE,
애완동물이랑 같이 출국가능할까요?,138,138,cnn,{},TRUE,
